stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio
84508A,CAMOUFLAGE DESIGN TEDDY,109,3809,8091.48,2.51
84508B,STRIPES DESIGN TEDDY,74,169,453.76,2.82
84508C,BLUE CIRCLES DESIGN TEDDY,43,103,279.82,2.95
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,479,1636,6742.53,5.02
84509B,SET OF 4 FAIRY CAKE PLACEMATS,202,654,2489.97,4.33
84509C,SET OF 4 POLKADOT PLACEMATS,140,344,1591.22,5.38
84509E,SET OF 4 CAROUSEL PLACEMATS,33,163,338.6,4.24
84509F,SET OF 4 NEW ENGLAND PLACEMATS,46,2781,2456.1,3.94
84509G,SET OF 4 FAIRY CAKE PLACEMATS,161,804,2060.37,3.82
84510A,SET OF 4 ENGLISH ROSE COASTERS,535,2477,3439.84,1.77
84510B,SET OF 4 FAIRY CAKES COASTERS,153,1172,1483.2,1.68
84510C,SET OF 4 POLKADOT COASTERS,135,330,540.45,1.88
84510E,SET OF 4 GREEN CAROUSEL COASTERS,34,162,152.86,1.93
84510F,SET OF 4 NEW ENGLAND COASTERS,38,1099,432.75,1.46
84519A,TOMATO CHARLIE LOLA COASTER SET,203,1200,2788.45,2.97
84519B,CARROT CHARLIE LOLA COASTER SET,215,867,1895.37,2.9
84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,743,7500,6579.02,1.05
84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,94,699,639.47,1.14
84522,PINK PARTY SUNGLASSES,26,186,311.86,1.86
84526,GIANT BLACK SUNGLASSES,34,538,1503.64,2.11
84527,FLAMES SUNGLASSES PINK LENSES,23,77,146.11,2.12
84529A,PINK KNITTED KIDS RUCKSACK,19,50,290.78,6.56
84529B,BLUE KNITTED KID S RUCKSACK,5,13,62.35,5.23
84529C,YELLOW KNITTED KIDS RUCKSACK,37,78,414.74,5.03
84531A,PINK KNITTED EGG COSY,47,191,169.36,1.29
84531B,BLUE KNITTED EGG COSY,42,194,164.01,1.17
84532B,FAIRY CAKES RECTANGLUAR BOXES,31,54,417.58,7.5
84533B,FAIRY CAKES ROUND NESTING BOXES,24,59,377.93,7.1
84534B,FAIRY CAKE NOTEBOOK A5 SIZE,191,823,783.01,1.21
84535A,ENGLISH ROSE NOTEBOOK A6 SIZE,65,607,346.93,0.85
84535B,FAIRY CAKES NOTEBOOK A6 SIZE,333,2686,1747.76,0.85
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,637,5102,2309.7,0.54
84536B,FAIRY CAKES NOTEBOOK A7 SIZE,407,3512,1567.97,0.58
84537B,FAIRY CAKES GIFT BAG,11,117,49.14,0.42
84539,KNITTED RABBIT DOLL,12,55,90.75,1.65
84546,CROCHET POODLE KEYRING,3,21,34.65,1.65
84548,CROCHET BEAR RED BLUE KEYRING,14,48,79.2,1.65
84549,CROCHET WHITE RABBIT KEYRING,16,75,137.27,2.37
84550,CROCHET LILAC RED BEAR KEYRING,5,15,24.75,1.65
84551,CROCHET DOG KEYRING,8,39,64.35,1.65
84555A,YELLOW VW BEETLE CERAMIC MONEY BOX,17,47,133.85,2.93
84558A,3D DOG PICTURE PLAYING CARDS,223,1280,3753.28,3.37
84559A,3D SHEET OF DOG STICKERS,271,1378,1285.87,1.16
84559B,3D SHEET OF CAT STICKERS,222,1231,1119.09,1.1
84559D,3D SHEET OF SEA WORLD STICKERS,32,149,130.09,0.93
84562A,PINK WHITE RIBBED MELAMINE JUG,79,169,1378.26,9.36
84562B,BLUE WHITE RIBBED MELAMINE JUG,7,10,106.59,10.53
84563A,PINK WHITE BREAKFAST TRAY,62,139,685.15,6.02
84563B,BLUE WHITE BREAKFAST TRAY,59,128,590.04,5.21
84564,6 SEGMENT COLOURED SNACK BOWL,11,21,175.48,8.73
84567,FROSTED GLASS WITH SILVER SURROUND,1,9,14.85,1.65
84568,GIRLS ALPHABET IRON ON PATCHES,310,37066,7788.67,0.37
84569A,PACK 3 IRON ON DOG PATCHES,114,562,702.42,1.36
84569B,PACK 3 FIRE ENGINE CAR PATCHES,76,433,557.18,1.43
84569C,PACK 4 FLOWER BUTTERFLY PATCHES,89,415,584.93,1.79
84569D,PACK 6 HEART ICE CREAM PATCHES,181,1023,1287.54,1.45
84570B,WHITE SATIN DRESS JEWEL STAND,2,4,19.8,4.95
84572,6 HOOK JEWEL STAND LILAC DRESS,1,1,8.49,8.49
84575A,PINK DOG CANNISTER,13,24,98.8,5.33
84575B,BROWN DOG CANNISTER W BONE,3,4,23.8,5.95
84576,BLUE CAT BISCUIT BARREL PINK HEART,32,96,337.04,4.89
84578,ELEPHANT TOY WITH BLUE T SHIRT,114,222,854.91,3.87
84580,MOUSE TOY WITH PINK T SHIRT,449,1057,4051.94,3.88
84581,DOG TOY WITH PINK CROCHET SKIRT,236,506,1920.02,3.85
84582,PINK CROCHET CAT WITH SCARF,11,14,59.5,4.25
84584,PINK GINGHAM CAT WITH SCARF,75,282,696.75,2.82
84586L,PINK ROSES GINGHAM PATCH RABBIT 8,9,15,44.25,2.95
84592,CROCHET ROSE PURSE WITH SUEDE BACK,47,173,536.4,3.44
84593,CROCHET ROSE DES CLOTHES HANGER,8,25,73.75,2.95
84595B,LARGE TRIFLE DESIGN L BLUE BOWL,16,230,408.9,3.09
84595E,LARGE TORTILLA DESIGN RED BOWL,43,367,723.57,3.28
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,740,6231,4099.77,0.87
84596E,SMALL LICORICE DES PINK BOWL,220,1154,1205.61,1.34
84596F,SMALL MARSHMALLOWS PINK BOWL,623,4739,3243.32,0.89
84596G,SMALL CHOCOLATES PINK BOWL,354,2231,1453.16,0.87
84596I,WRAP SWEETS LIGHT PINK SMALL BOWL,11,72,80.62,1.35
84596J,MIXED NUTS LIGHT GREEN BOWL,140,812,626.76,1.2
84596K,JELLY BABIES YELLOW SMALL BOWL,93,428,543.41,1.43
84596L,BISCUITS SMALL BOWL LIGHT BLUE,256,1537,1016.42,0.97
84597B,RETRO BROWN BALL ASHTRAY,27,205,259.37,1.61
84597C,RETRO PINK BALL ASHTRAY,44,364,450.98,1.46
84598,BOYS ALPHABET IRON ON PATCHES,217,20775,4350.14,0.37
84599,CANDY STRIPE ROSE FLOOR CUSHION,6,15,160.15,12.04
84600,NEW BAROQUE JEWELLERY BOX,52,108,918.27,9.62
84601A,NEW BAROQUE IVORY CUSHION COVER,15,260,638.34,3.67
84608,ORNATE EDWARDIAN CANDLE HOLDER,4,6,47.7,7.95
84609,TALL ROCOCO CANDLE HOLDER,38,143,1289.24,10.89
84611B,BLACK NEW BAROQUE FLOCK BOX,4,7,41.65,5.95
84612B,SET 4 BLACK BAROQUE FLOCK COASTER,4,20,51.0,2.55
84613A,PINK NEW BAROQUE FLOCK CANDLESTICK,10,22,102.3,4.65
84613C,BLUE NEW BAROQUE FLOCK CANDLESTICK,12,62,258.06,4.58
84614A,PINK BAROQUE FLOCK CANDLE HOLDER,10,17,124.83,7.73
84614C,BLUE BAROQUE FLOCK CANDLE HOLDER,1,3,17.85,5.95
84615,PINK ROUND BUTTERFLY MIRROR,21,240,748.48,5.61
84616,SILVER ROCCOCO CHANDELIER,25,72,1472.62,27.73
84617,NEW BAROQUE BLACK BOXES,7,11,140.25,12.75
84619,BLUE GINGHAM ROSE QUILT,29,72,1622.96,35.91
84620,BLUE GINGHAM ROSE CUSHION COVER,50,121,746.61,6.54
84621,BLUE GINGHAM ROSE FLOOR CUSHION,15,29,247.26,9.06
84622,PINK GINGHAM ROSE CUSHION COVER,9,23,152.6,7.7
84623,PINK GINGHAM ROSE FLOOR CUSHION,14,56,310.44,8.07
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,81,838,1193.0,2.84
84625B,BLCK NEW BAROQUE CANDLESTICK CANDLE,17,180,279.0,2.33
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,71,770,1024.15,2.66
84625D,WHITE NEWBAROQUE CANDLESTICK CANDLE,52,650,793.34,2.33
84626,CANDY STRIPE ROSE QUILT,1,1,45.95,45.95
84627,CANDY STRIPE ROSE C COVER,20,50,297.5,5.95
84629,WHITE 3 FRAME BIRDS AND TREE,13,24,237.8,12.8
84630,FLOWERS AND BIRDS WALL PLAQUE,1,2,15.9,7.95
84631,FRUIT TREE AND BIRDS WALL PLAQUE,50,288,1106.16,9.52
84632,DECORATIVE HANGING SHELVING UNIT,11,15,859.25,59.04
84637,KITCHEN FLOWER POTS WALL PLAQUE,114,585,1454.49,5.8
84638,SMALL KITCHEN FLOWER POTS PLAQUE,69,400,1101.55,7.5
84648,NEW BAROQUE WALL MIRROR,1,1,12.75,12.75
84653,GREEN ROSE QUILT,12,14,750.48,54.88
84656,WHITE ROSE C COVER,13,22,130.9,5.95
84657,GREEN ROSE CUSHION COVER,20,246,517.48,4.5
84658,WHITE STITCHED CUSHION COVER,65,214,1199.66,6.97
84659A,WHITE TRAVEL ALARM CLOCK,225,588,1469.51,2.56
84660A,WHITE STITCHED WALL CLOCK,56,867,907.96,2.69
84660B,BLACK STITCHED WALL CLOCK,67,752,952.66,3.47
84660C,PINK STITCHED WALL CLOCK,113,756,1221.96,4.61
84661A,WHITE SQUARE TABLE CLOCK,45,224,319.01,3.02
84661B,BLACK SQUARE TABLE CLOCK,52,244,535.18,3.27
84661C,PINK SQUARE TABLE CLOCK,27,152,189.87,3.01
84663A,GRASS HOPPER WOODEN WALL CLOCK,64,373,746.39,4.42
84664,CHERRY BLOSSOM BATHROOM CABINET,51,193,955.35,4.95
84665,SQUARE CHERRY BLOSSOM CABINET,47,226,1364.7,6.38
84666,SQUARE CHERRY BLOSSOM CABINET,33,226,892.7,3.95
84670,JAPANESE CROCHETED ANIMAL,189,5196,2128.72,0.5
84671B,CROCHET BEAR WITH BLUE STRIPES,33,109,306.77,3.19
84673A,PINK FLY SWAT,101,500,314.84,0.74
84673B,BLUE FLY SWAT,134,503,391.31,0.92
84674,FLYING PIG WATERING CAN,107,460,1175.93,3.21
84675,FROG KING WATERING CAN,62,206,571.71,3.7
84676,BATH DUCK WATERING CAN,110,848,2102.46,3.14
84678,CLASSICAL ROSE SMALL VASE,84,565,1108.28,2.89
84679,CLASSICAL ROSE TABLE LAMP,4,14,103.3,8.95
84680,CLASSICAL ROSE URN,17,94,372.3,7.07
84682,CLASSICAL ROSE DISH,51,295,596.94,3.33
84683,CLASSICAL ROSE CANDLESTAND,49,537,516.85,1.64
84684,BEACH HUT PHOTO FRAME,40,609,720.7,3.29
84685,BEACH HUT KEY CABINET,125,435,1366.17,5.73
84686,BEACH HUT MIRROR,76,389,1027.79,5.96
84687,BEACH HUT SHELF W 3 DRAWERS,73,314,1208.06,6.92
84688,BEACH HUT DESIGN BLACKBOARD,81,422,1313.52,5.84
84689,S 2 BEACH HUT TREASURE CHESTS,40,312,742.9,5.3
84690,S 2 BEACH HUT STOOLS,14,27,214.65,7.95
84691,PACK 20 DOLLY PEGS,236,2747,2225.5,1.03
84692,BOX OF 24 COCKTAIL PARASOLS,1140,19085,9336.68,0.63
84705A,ENGLISH ROSE PHOTO FRAME,7,14,65.1,4.65
84705B,FAIRY CAKES PHOTO FRAME,5,86,120.13,3.78
84705C,PINK FLOCK PHOTO FRAME,8,162,227.33,3.93
84705D,CHERRY BLOSSOM PHOTO FRAME,15,22,97.9,4.39
84705F,RED PEONY PHOTO FRAME,5,8,37.2,4.65
84706A,ENGLISH ROSE TABLE CLOCK,7,137,325.88,7.34
84706B,FAIRY CAKES TABLE CLOCK,9,20,188.73,10.03
84706C,PINK FLOCK TABLE CLOCK,4,84,170.8,3.7
84706D,CHERRY BLOSSOM TABLE CLOCK,16,219,500.19,4.77
84706F,RED PEONY TABLE CLOCK,18,34,208.3,5.62
84707A,SILVER JEWELLED MIRROR TRINKET TRAY,64,125,1045.88,10.49
84707B,PINK JEWELLED MIRROR TRINKET TRAY,51,79,618.52,8.63
84708B,PINK JEWELLED PHOTO FRAME,54,142,732.79,5.39
84709A,SILVER OVAL JEWELLED MIRROR,14,23,136.85,5.95
84709B,PINK OVAL JEWELLED MIRROR,87,176,1014.48,5.93
84711A,SILVER OVAL SHAPE TRINKET BOX,24,42,390.95,9.0
84711B,PINK OVAL SHAPE TRINKET BOX,30,39,357.71,8.99
84712B,PINK JEWELLED PHOTO FRAME,60,98,767.16,7.8
84715,SET OF 6 ICE CREAM SKITTLES,47,241,734.89,3.39
84720,DOT MATRIX CANVAS ART PICTURE,3,35,147.05,6.88
84721,MANHATTAN CANVAS ART PICTURE,2,20,87.8,8.35
84723,CHERRY BLOSSOM CANVAS ART PICTURE,12,54,201.3,5.95
84725,FREESTYLE CANVAS ART PICTURE,29,134,216.5,2.12
84726,LILLIES CANVAS PICTURE,5,233,394.85,2.17
84731,3 BIRDS CANVAS SCREEN,3,3,3.69,1.23
84732B,CUTE BIRD CEATURE SCREEN,6,28,18.48,1.23
84732D,CUTE RABBIT CEATURE SCREEN,6,15,10.89,1.23
84741C,CITRUS GARLAND FELT FLOWERS,52,185,372.14,2.13
84743C,ORANGE FELT VASE FLOWERS,5,9,11.25,1.25
84744,S 6 SEW ON CROCHET FLOWERS,33,149,188.77,1.33
84745A,PINK HANGING GINGHAM EASTER HEN,17,72,30.24,0.42
84745B,BLUE HANGING GINGHAM EASTER HEN,18,83,34.86,0.42
84746,PINK EASTER HENS FLOWER,16,23,72.06,3.1
84748,FOLK FELT HANGING MULTICOL GARLAND,94,1170,1781.12,3.45
84750A,PINK SMALL GLASS CAKE STAND,105,544,1189.23,3.07
84750B,BLACK SMALL GLASS CAKE STAND,78,609,1142.02,2.45
84751B,BLACK MEDIUM GLASS CAKE STAND,20,38,115.86,3.01
84753A,PINK EAU DE COLOGNE BOTTLE,24,97,92.17,1.15
84754,S 15 SILVER GLASS BAUBLES IN BAG,224,2083,2634.59,1.55
84755,COLOUR GLASS T LIGHT HOLDER HANGING,1273,40439,25205.13,0.83
84757,ENCHANTED GARDEN WROUGHT IRON TABLE,4,5,74.75,14.95
84760L,LARGE HANGING GLASS ZINC LANTERN,1,560,896.0,1.6
84760S,SMALL HANGING GLASS ZINC LANTERN,37,222,360.21,1.95
84761,IVORY HANGING BIRD PLANTER,61,276,768.85,3.12
84762A,WHITE PICNIC BARBECUE BUCKET,29,59,517.43,9.87
84762B,PINK PICNIC BARBECUE BUCKET,48,113,837.77,8.78
84762C,GREEN PICNIC BARBECUE BUCKET,43,105,761.25,8.56
84763,ZINC FINISH 15CM PLANTER POTS,171,1517,1903.0,1.41
84765,SILVER ROCOCO CANDELABRA,6,9,140.23,17.0
84766,SILVER ROCOCO CANDLE STICK,27,200,638.0,4.58
84767,ZINC POLICE BOX LANTERN,6,195,806.22,7.4
84770,ROUND GEORGIAN SILVER MIRROR,16,135,419.25,3.82
84773,RED ROSE AND LACE C COVER,49,190,560.5,2.95
84782A,PINK 3 TIER GLASS PLATE STAND,26,119,840.45,9.9
84782B,BLACK 3 TIER GLASS PLATE STAND,6,10,127.5,12.75
84782C,GREEN 3 TIER GLASS PLATE STAND,18,74,509.9,9.62
84789,ENCHANTED BIRD PLANT CAGE,124,445,1558.39,4.02
84791,GINGHAM HEART DECORATION,106,334,1086.13,3.79
84792,ENCHANTED BIRD COATHANGER 5 HOOK,521,2297,10119.51,5.26
84795A,PASTEL STRIPE HAMMOCK,71,208,1696.02,9.65
84795B,SUNSET CHECK HAMMOCK,113,317,2696.81,10.13
84795C,OCEAN STRIPE HAMMOCK,132,325,2752.59,9.48
84795D,SEASIDE STRIPE HAMMOCK,83,189,1538.79,8.78
84795E,RIO PINK STRIPE HAMMOCK,6,10,79.5,7.95
84796A,PINK HAWAIIAN PICNIC HAMPER FOR 2,131,312,2307.23,9.38
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,184,602,5016.91,9.24
84797A,PINK HAWAIIAN PICNIC HAMPER FOR 4,61,499,3560.09,11.08
84797B,BLUE SAVANNAH PICNIC HAMPER FOR 4,52,344,2077.82,10.77
84798A,PINK FOXGLOVE ARTIIFCIAL FLOWER,10,195,432.45,2.5
84798B,PURPLE FOXGLOVE ARTIIFCIAL FLOWER,10,326,492.9,2.12
84798C,WHITE FOXGLOVE ARTIIFCIAL FLOWER,3,16,40.8,2.55
84799,SPRIG LAVENDER ARTIFICIAL FLOWER,31,678,528.78,1.04
84800L,LARGE WHITE PINK ROSE ART FLOWER,38,650,970.79,1.86
84800M,MEDIUM WHITE PINK ROSE ART FLOWER,27,250,357.22,1.59
84800S,SMALL WHITE PINK ROSE ART FLOWER,19,388,292.04,1.1
84801A,PINK HYDRANGEA ART FLOWER,15,272,427.44,1.98
84801B,WHITE HYDRANGEA ART FLOWER,18,214,345.0,2.02
84802A,WHITE ANEMONE ARTIFICIAL FLOWER,24,185,312.65,1.69
84802B,PURPLE ANEMONE ARTIFICIAL FLOWER,17,411,389.79,1.54
84803A,PINK ALLIUM ARTIFICIAL FLOWER,17,112,189.28,1.69
84803B,WHITE ALLIUM ARTIFICIAL FLOWER,11,42,70.98,1.69
84804A,CREAM DELPHINIUM ARTIFICIAL FLOWER,18,218,396.38,2.7
84804B,BLUE DELPHINIUM ARTIFICIAL FLOWER,20,355,501.97,2.5
84805A,CREAM CLIMBING HYDRANGA ART FLOWER,8,147,212.85,2.76
84805B,BLUE CLIMBING HYDRANGA ART FLOWER,9,340,551.4,2.46
84806A,PINK CANDYSTUFT ARTIFICIAL FLOWER,20,319,261.91,1.14
84806B,WHITE CANDYSTUFT ARTIFICIAL FLOWER,32,450,568.02,1.38
84807,RED POPPY ARTIFICIAL FLOWER,7,233,215.93,1.54
84809A,WHITE CHRYSANTHEMUMS ART FLOWER,21,276,474.84,2.02
84809B,PINK CHRYSANTHEMUMS ART FLOWER,8,296,351.6,1.79
84813,SET OF 4 DIAMOND NAPKIN RINGS,99,422,3300.76,11.6
84814A,HEXAGONAL CRYSTAL PERFUME BOTTLE,1,1,1.95,1.95
84814B,RHOMBUS CRYSTAL PERFUME BOTTLE,3,7,13.65,1.95
84815,SET OF 3 DANISH ROSE PLANTERS,53,926,1183.82,5.39
84816,DANISH ROSE BEDSIDE CABINET,20,33,1278.35,39.45
84817,DANISH ROSE DECORATIVE PLATE,80,1059,937.44,1.63
84818,DANISH ROSE PHOTO FRAME,214,1788,2382.25,2.04
84819,DANISH ROSE ROUND SEWING BOX,95,908,1368.26,2.97
84820,DANISH ROSE TRINKET TRAYS,54,323,899.37,5.31
84821,DANISH ROSE DELUXE COASTER,75,1318,742.5,0.8
84823,DANISH ROSE FOLDING CHAIR,29,120,1210.0,12.36
84824,DANISH ROSE UMBRELLA STAND,32,38,676.45,18.45
84826,ASSTD DESIGN 3D PAPER STICKERS,53,1734,869.08,0.66
84827,ASS DES PHONE SPONGE CRAFT STICKER,31,1027,489.79,0.55
84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,355,2503,3315.18,1.62
84830,LARGE ENGLISH ARBORETUM,7,113,1195.15,15.36
84832,ZINC WILLIE WINKIE CANDLE STICK,641,6794,6134.7,1.08
84836,ZINC METAL HEART DECORATION,1435,19847,24289.33,1.38
84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,144,251,3210.04,13.43
84838,ANT WHITE HIGH RISE BIRD BOX,4,50,312.5,7.88
84839,SWEETHEART KEY CABINET,394,1523,8747.05,7.22
84840,SWEETHEART CARRY ALL BASKET,140,282,2430.82,9.0
84842,HELLO SAILOR BATHROOM SET,35,1505,744.15,4.43
84843,WHITE SOAP RACK WITH 2 BOTTLES,111,280,1731.06,7.08
84845A,HOLLYHOCK SQUARE HANDY TIN,1,1,1.25,1.25
84845C,CARNATION SQUARE HANDY TIN,14,42,52.5,1.25
84845D,GERANIUM SQUARE HANDY TIN,11,41,51.25,1.25
84846A,SCENTED CANDLE IN DIGITALIS TIN,54,251,567.55,2.57
84847,FLORAL BATHROOM SET,49,2330,1149.73,4.47
84849A,HELLO SAILOR BLUE SOAP HOLDER,104,470,833.57,2.23
84849B,FAIRY SOAP SOAP HOLDER,294,1936,3244.14,2.02
84849D,HOT BATHS SOAP HOLDER,261,1558,2618.27,1.9
84854,GIRLY PINK TOOL SET,111,381,2079.47,6.57
84855,BLOKEY SILVER TOOL SET,16,36,196.7,5.88
84856L,LARGE TAHITI BEACH BAG,81,238,1492.28,7.75
84856S,SMALL TAHITI BEACH BAG,33,467,1877.21,4.98
84857A,SILVER MONTE CARLO HANDBAG,3,8,68.0,8.5
84857B,BLUE MONTE CARLO HANDBAG,1,24,46.8,1.95
84857C,PINK MONTE CARLO HANDBAG,17,197,445.03,4.38
84858A,NATURAL RIVIERA HANDBAG,8,53,128.83,6.14
84858B,BLUE RIVIERA HANDBAG,9,326,431.0,2.82
84858C,PINK RIVIERA HANDBAG,30,347,611.07,5.59
84859A,SILVER DISCO HANDBAG,60,293,613.53,3.39
84859B,BLUE DISCO HANDBAG,18,282,433.46,2.89
84859C,PINK DISCO HANDBAG,40,304,552.72,3.04
84864A,PINK PAISLEY PHOTO ALBUM,4,7,67.71,8.46
84865,NEW BAROQUE BLACK PHOTO ALBUM,48,77,639.42,9.4
84867A,PINK BABY GIRLS PHOTO ALBUM,5,17,119.39,9.4
84867B,BLUE BABY BOY S PHOTO ALBUM,1,2,27.14,13.57
84868A,PINK BABY GIRL S MEMORY BOX,2,2,13.9,6.95
84868B,BLUE BABY BOY S MEMORY BOX,4,5,34.75,6.95
84869,CANDY BUTTON PHOTO ALBUM,26,302,703.54,5.04
84870B,BLUE GEISHA GIRL,40,90,322.61,3.66
84870C,GREEN GEISHA GIRL,41,93,330.36,3.45
84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,147,235,2620.01,11.2
84873A,FUNKY FLOWER PICNIC BAG FOR 4,75,120,1367.51,11.53
84874B,BLUE TRAVEL FIRST AID KIT,37,86,141.76,1.65
84875A,PINK SQUARE COMPACT MIRROR,12,16,60.0,3.75
84875B,GREEN SQUARE COMPACT MIRROR,40,373,511.01,1.96
84875D,BLUE SQUARE COMPACT MIRROR,37,371,483.75,1.72
84876B,GREEN HEART COMPACT MIRROR,41,344,488.31,2.4
84876C,SILVER HEART COMPACT MIRROR,4,7,26.25,3.75
84876D,BLUE HEART COMPACT MIRROR,35,331,600.52,3.59
84877A,PINK ROUND COMPACT MIRROR,17,74,185.66,3.4
84877B,GREEN ROUND COMPACT MIRROR,43,291,504.43,2.68
84877D,BLUE ROUND COMPACT MIRROR,43,160,371.85,2.97
84879,ASSORTED COLOUR BIRD ORNAMENT,2848,80082,129324.49,1.86
84880,WHITE WIRE EGG HOLDER,377,1729,9894.99,6.73
84881,BLUE WIRE SPIRAL CANDLE HOLDER,24,52,342.94,6.88
84882,GREEN WIRE STANDING CANDLE HOLDER,36,66,289.43,4.7
84884A,ANT WHITE WIRE HEART SPIRAL,347,1757,6659.17,4.92
84886,BLUE METAL WALL SHELF,9,12,119.4,9.95
84891B,GREEN WIRE GOBLET CANDLEHOLDER,6,11,87.45,7.95
84893,ANT WHITE IRON BASKET,15,33,186.35,5.88
84898F,YELLOW FLOWERS FELT HANDBAG KIT,52,165,352.75,2.18
84899E,YELLOW BROWN BEAR FELT PURSE KIT,21,53,73.93,1.62
84899F,YELLOW PURPLE DAISY FELT PURSE KIT,53,121,192.17,1.9
84901,BLACK FACE LAMB WITH PANTS,74,123,471.13,3.86
84902,PINK KNITTED COW STUFFED TOY,53,84,326.33,3.93
84905,PINK BUTTERFLY CUSHION COVER,105,269,1007.91,5.03
84906,PINK B FLY C COVER W BOBBLES,21,66,307.47,5.32
84907,PINK YELLOW PATCH CUSHION COVER,36,391,999.17,6.62
84908A,PINK 5 PATCH FLOWER CUSHION COVER,36,432,1045.16,5.82
84908B,BLUE 5 PATCH FLOWER CUSHION COVER,35,435,1052.29,5.52
84909A,PINK PAISLEY QUILT,30,209,2797.55,17.18
84910A,PINK PAISLEY CUSHION COVER,53,432,1230.39,6.49
84912A,PINK ROSE WASHBAG,233,1096,3012.0,3.64
84912B,GREEN ROSE WASHBAG,261,1125,3072.64,3.51
84913A,SOFT PINK ROSE TOWEL,266,608,2211.54,3.61
84913B,MINT GREEN ROSE TOWEL,200,420,1593.29,3.7
84914A,PINK ROSE PICNIC RUG,5,6,155.7,25.95
84915,HAND TOWEL PINK FLOWER AND DAISY,37,234,459.56,4.34
84916,HAND TOWEL PALE BLUE W FLOWERS,58,261,646.43,4.47
84917,WHITE HAND TOWEL WITH BUTTERFLY,53,229,686.03,4.33
84918,CREAM CUSHION COVER WITH FLOWERS,63,208,995.12,6.06
84919,BLUE CUSHION COVER WITH FLOWER,43,291,1619.84,6.97
84920,PINK FLOWER FABRIC PONY,88,201,805.38,4.45
84921,CREAM AND PINK FLOWERS PONY,14,27,101.25,3.75
84922,PINK BUTTERFLY WASHBAG,17,342,808.22,5.87
84923,PINK BUTTERFLY HANDBAG W BOBBLES,150,234,1017.64,4.34
84924A,WAKE UP COCKEREL CALENDAR SIGN,62,133,571.0,4.86
84924D,LA PALMIERA METAL SIGN CALENDAR,15,764,272.61,3.8
84924F,PSYCHEDELIC METAL SIGN CALENDAR,10,975,274.55,2.95
84925A,WAKE UP COCKEREL WALL THERMOMETER,17,179,339.29,2.81
84925C,FAIRY CAKES WALL THERMOMETER,10,28,71.4,2.55
84925D,LA PALMIERA WALL THERMOMETER,26,452,677.45,2.32
84925E,FLOWERS WALL THERMOMETER,3,75,130.05,2.27
84925F,PSYCHEDELIC WALL THERMOMETER,34,714,873.11,2.24
84926A,WAKE UP COCKEREL TILE COASTER,51,664,293.08,0.98
84926B,SCOTTS ROSES TILE COASTER,10,54,67.5,1.25
84926C,FAIRY CAKES TILE COASTER,31,138,189.6,1.76
84926D,LA PALMIERA TILE COASTER,48,773,365.35,1.09
84926E,FLOWERS TILE COASTER,52,1081,471.57,0.77
84926F,PSYCHEDELIC TILE COASTER,42,484,277.9,1.42
84927A,WAKE UP COCKEREL TILE HOOK,33,226,157.61,2.22
84927D,LA PALMIERA TILE HOOK,28,953,211.29,1.76
84927E,FLOWERS TILE HOOK,30,494,224.31,2.09
84927F,PSYCHEDELIC TILE HOOK,64,335,273.32,1.6
84929,ASSTD FRUIT FLOWERS FRIDGE MAGNETS,93,3096,1007.52,0.37
84931A,PINK SCOTTIE DOG W FLOWER PATTERN,82,204,513.69,2.71
84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,83,274,688.73,2.66
84932A,SMALL GREEN PEONY FOLDING STOOL,24,262,602.6,3.86
84932B,SMALL PINK PEONY FOLDING STOOL,17,189,401.3,3.11
84932C,SMALL ORIENTAL BLUE FOLDING STOOL,34,282,615.4,3.11
84932D,SMALL ORIENTAL RED FOLDING STOOL,21,239,574.71,4.63
84933A,LARGE GREEN PEONY FOLDING STOOL,6,131,314.35,4.72
84933B,LARGE PINK PEONY FOLDING STOOL,6,136,309.15,3.41
84933C,LARGE BLUE ORIENTAL FOLDING STOOL,6,136,317.0,4.72
84934,ASSTD DESIGN POP ART SLIM PEN,13,687,586.5,0.92
84937,KASHMIR FOLKART TUMBLERS,124,2542,5394.54,4.99
84942,KASHMIR FOLKART HEART DISHES,3,3,5.07,1.69
84944,SET OF 6 KASHMIR FOLKART BAUBLES,196,1135,3153.88,3.86
84945,MULTI COLOUR SILVER T LIGHT HOLDER,660,21605,17746.71,1.08
84946,ANTIQUE SILVER TEA GLASS ETCHED,1787,36696,49210.4,1.53
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,698,15810,18744.17,1.44
84948,SILVER HANGING T LIGHT HOLDER DOME,37,273,459.21,1.79
84949,SILVER HANGING T LIGHT HOLDER,703,11945,19015.8,1.83
84950,ASSORTED COLOUR T LIGHT HOLDER,275,6041,4199.27,0.91
